id,title,date_earliest,date_latest,thumb_vs,production_country,production_region,production_minting_place
00100,Milet,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/107/vs_thumb.jpg,Türkei,Ionien,Milet
00101,Elektron,-600,-500,http://ww2.smb.museum/mk_edit/images/n0/108/vs_thumb.jpg,Türkei,Kleinasien,
00102,Elektron,-620,-500,http://ww2.smb.museum/mk_edit/images/n0/109/vs_thumb.jpg,Türkei,Kleinasien,
00103,Elektron,-620,-500,http://ww2.smb.museum/mk_edit/images/n0/110/vs_thumb.jpg,Türkei,Kleinasien,
00104,Elektron,-620,-500,http://ww2.smb.museum/mk_edit/images/n0/111/vs_thumb.jpg,Türkei,Kleinasien,
00105,Elektron,-600,-500,http://ww2.smb.museum/mk_edit/images/n0/112/vs_thumb.jpg,Türkei,Kleinasien,
00106,Athen?,-600,-500,http://ww2.smb.museum/mk_edit/images/n0/113/vs_thumb.jpg,Griechenland,Attika,Athen?
00107,Kyzikos,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/114/vs_thumb.jpg,Türkei,Mysien,Kyzikos
00108,Kyzikos,-500,-400,http://ww2.smb.museum/mk_edit/images/n0/115/vs_thumb.jpg,Türkei,Mysien,Kyzikos
00109,Kyzikos,-500,-400,http://ww2.smb.museum/mk_edit/images/n0/116/vs_thumb.jpg,Türkei,Mysien,Kyzikos
00110,Chios?,-500,-400,http://ww2.smb.museum/mk_edit/images/n0/70/vs_thumb.jpg,Griechenland,Ionische Inseln,Chios?
00111,Lampsakos?,-460,-440,http://ww2.smb.museum/mk_edit/images/n0/117/vs_thumb.jpg,Türkei,Mysien,Lampsakos?
00112,Akragas,-413,-411,http://ww2.smb.museum/mk_edit/images/n0/72/vs_thumb.jpg,Italien,Sizilien,Akragas
00113,Gela,-480,-470,http://ww2.smb.museum/mk_edit/images/n0/118/vs_thumb.jpg,Italien,Sizilien,Gela
00114,Selinunt,-420,-420,http://ww2.smb.museum/mk_edit/images/n0/119/vs_thumb.jpg,Italien,Sizilien,Selinunt
00115,Syrakus,-406,-380,http://ww2.smb.museum/mk_edit/images/n0/120/vs_thumb.jpg,Italien,Sizilien,Syrakus
00116,Weimarer Republik: 1927 Bremerhaven,1865,1954,http://ww2.smb.museum/mk_edit/images/n0/121/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00117,Weimarer Republik: 1927 Nordhausen,895,936,http://ww2.smb.museum/mk_edit/images/n0/122/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00118,Weimarer Republik: 1929 Lessing,1871,1938,http://ww2.smb.museum/mk_edit/images/n0/123/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00119,Syrakus,406,-380,http://ww2.smb.museum/mk_edit/images/n0/124/vs_thumb.jpg,Italien,Sizilien,Syrakus
00120,Syrakus,-400,-370,http://ww2.smb.museum/mk_edit/images/n0/125/vs_thumb.jpg,Italien,Sizilien,Syrakus
00121,Phasis (Kolchis),-494,-400,http://ww2.smb.museum/mk_edit/images/n0/126/vs_thumb.jpg,Georgien,Kolchis,Phasis (Poti)
00122,Pantikapaion,-400,-300,http://ww2.smb.museum/mk_edit/images/n0/127/vs_thumb.jpg,Ukraine,Taurische Chersonesos,Pantikapaion
00123,Ainos,-478,-450,http://ww2.smb.museum/mk_edit/images/n0/128/vs_thumb.jpg,Türkei,Thrakien,Ainos
00124,Mende,-450,-400,http://ww2.smb.museum/mk_edit/images/n0/129/vs_thumb.jpg,Griechenland,Makedonien,Mende
00125,Makedonien: 1. Meris,-158,-150,http://ww2.smb.museum/mk_edit/images/n0/130/vs_thumb.jpg,Griechenland,Makedonien,Amphipolis
00126,Theben,-450,-400,http://ww2.smb.museum/mk_edit/images/n0/131/vs_thumb.jpg,Griechenland,Böotien,Theben
00130,Weimarer Republik: 1929 Verfassung,1871,1938,http://ww2.smb.museum/mk_edit/images/n0/135/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00131,Weimarer Republik: 1929 Graf Zeppelin,1896,1955,http://ww2.smb.museum/mk_edit/images/n0/136/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00132,Korinth,-478,-458,http://ww2.smb.museum/mk_edit/images/n0/137/vs_thumb.jpg,Griechenland,Achaia,Korinth
00133,Aigina,-400,-300,http://ww2.smb.museum/mk_edit/images/n0/139/vs_thumb.jpg,Griechenland,Attika (Inseln),Aigina
00135,Athen,-506,-490,http://ww2.smb.museum/mk_edit/images/n0/138/vs_thumb.jpg,Griechenland,Attika,Athen
00136,Athen,-480,-404,http://ww2.smb.museum/mk_edit/images/n0/141/vs_thumb.jpg,Griechenland,Attika,Athen
00137,Weimarer Republik: 1930 Walther von der Vogelweide,1896,1957,http://ww2.smb.museum/mk_edit/images/n0/142/vs_thumb.jpg,Deutschland,Württemberg,Stuttgart
00138,Aitolische Liga,-220,-196,http://ww2.smb.museum/mk_edit/images/n0/143/vs_thumb.jpg,Griechenland,Aitolien,
00139,Sparta: Kleomenes III.,-254,-219,http://ww2.smb.museum/mk_edit/images/n0/144/vs_thumb.jpg,Griechenland,Lakonien,Sparta
00140,Weimarer Republik: 1931 Stein,1871,1938,http://ww2.smb.museum/mk_edit/images/n0/145/vs_thumb.jpg,Deutschland,,Berlin
00142,Gortyn,-450,-400,http://ww2.smb.museum/mk_edit/images/n0/147/vs_thumb.jpg,Griechenland,Kreta,Gortyn
00143,Weimarer Republik: 1932 Goethe,1871,1938,http://ww2.smb.museum/mk_edit/images/n0/148/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00144,Gortyn,-350,-270,http://ww2.smb.museum/mk_edit/images/n0/149/vs_thumb.jpg,Griechenland,Kreta,Gortyn
00145,Phaistos,-400,-300,http://ww2.smb.museum/mk_edit/images/n0/150/vs_thumb.jpg,Griechenland,Kreta,Phaistos
00147,Melos,-400,-300,http://ww2.smb.museum/mk_edit/images/n0/152/vs_thumb.jpg,Griechenland,Ägäische Inseln,Melos
00148,Kalymna,-560,-540,http://ww2.smb.museum/mk_edit/images/n0/153/vs_thumb.jpg,Griechenland,Karische Inseln,Kalymna
00149,Rhodos,-408,-395,http://ww2.smb.museum/mk_edit/images/n0/154/vs_thumb.jpg,Griechenland,Karische Inseln,Rhodos
00150,Kyzikos,-550,-480,http://ww2.smb.museum/mk_edit/images/n0/155/vs_thumb.jpg,Türkei,Mysien,Kyzikos
00151,Kyzikos,-480,-470,http://ww2.smb.museum/mk_edit/images/n0/156/vs_thumb.jpg,Türkei,Mysien,Kyzikos
00152,Kyzikos,-510,-490,http://ww2.smb.museum/mk_edit/images/n0/157/vs_thumb.jpg,Türkei,Mysien,Kyzikos
00153,Kyzikos,-480,-410,http://ww2.smb.museum/mk_edit/images/n0/158/vs_thumb.jpg,Türkei,Mysien,Kyzikos
00158,Kyzikos,-430,-410,http://ww2.smb.museum/mk_edit/images/n0/163/vs_thumb.jpg,Türkei,Mysien,Kyzikos
00159,Kyzikos,-450,-400,http://ww2.smb.museum/mk_edit/images/n0/164/vs_thumb.jpg,Türkei,Mysien,Kyzikos
00160,Milet,-360,-340,http://ww2.smb.museum/mk_edit/images/n0/165/vs_thumb.jpg,Türkei,Ionien,Milet
00163,Persischer Satrap: Tarkuwarma-Datames,-378,-372,http://ww2.smb.museum/mk_edit/images/n0/168/vs_thumb.jpg,Türkei,Kilikien,Tarsos
00164,Sidon,-342,-341,http://ww2.smb.museum/mk_edit/images/n0/169/vs_thumb.jpg,Libanon,Phönizien,Sidon (Saida)
00165,Lykien: Ddänävälä/Ddenevele,-410,-390,http://ww2.smb.museum/mk_edit/images/n0/170/vs_thumb.jpg,Türkei,Lykien,Telmessos
00166,Lykien: Mithrapata,-385,-370,http://ww2.smb.museum/mk_edit/images/n0/171/vs_thumb.jpg,Türkei,Lykien,
00167,Drittes Reich: 1933 Luther,1483,1546,http://ww2.smb.museum/mk_edit/images/n0/172/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00170,Lykien: Perikles,-375,-362,http://ww2.smb.museum/mk_edit/images/n0/175/vs_thumb.jpg,Türkei,Lykien,
00171,Makedonien: Amyntas III.,-393,-369,http://ww2.smb.museum/mk_edit/images/n0/176/vs_thumb.jpg,Griechenland,Makedonien,
00172,Makedonien: Philippos II.,-359,-336,http://ww2.smb.museum/mk_edit/images/n0/177/vs_thumb.jpg,Griechenland,Makedonien,Amphipolis
00173,Lysimachos,-356,-323,http://ww2.smb.museum/mk_edit/images/n0/178/vs_thumb.jpg,Türkei,Thrakien,Lysimacheia
00174,Makedonien: Demetrios Poliorketes,-291,-283,http://ww2.smb.museum/mk_edit/images/n0/179/vs_thumb.jpg,Griechenland,Makedonien,Amphipolis
00175,Makedonien: Philippos V.,-238,-179,http://ww2.smb.museum/mk_edit/images/n0/180/vs_thumb.jpg,Griechenland,Makedonien,
00176,Makedonien: Philippos V.,-238,-179,http://ww2.smb.museum/mk_edit/images/n0/181/vs_thumb.jpg,Griechenland,Makedonien,
00177,Ptolemäer: Ptolemaios (I.),-356,-323,http://ww2.smb.museum/mk_edit/images/n0/182/vs_thumb.jpg,Ägypten,Ägypten,Alexandria
00178,Ptolemäer: Ptolemaios I.,-356,-323,http://ww2.smb.museum/mk_edit/images/n0/183/vs_thumb.jpg,Ägypten,Ägypten,Alexandria
00179,Ptolemäer: Ptolemaios II.,-367,-282,http://ww2.smb.museum/mk_edit/images/n0/184/vs_thumb.jpg,Ägypten,Ägypten,Alexandria
00180,Ptolemäer: Arsinoe II.,-308,-246,http://ww2.smb.museum/mk_edit/images/n0/185/vs_thumb.jpg,Ägypten,Ägypten,Alexandria
00181,Ptolemäer: Ptolemaios III.,-284,-222,http://ww2.smb.museum/mk_edit/images/n0/186/vs_thumb.jpg,Ägypten,Ägypten,Alexandria
00182,Ptolemäer: Ptolemaios V.,-210,-180,http://ww2.smb.museum/mk_edit/images/n0/187/vs_thumb.jpg,Ägypten,Ägypten,Alexandria
00183,Herakleia am Latmos,-170,-140,http://ww2.smb.museum/mk_edit/images/n0/188/vs_thumb.jpg,Türkei,Ionien,Herakleia am Latmos
00184,Kyme,-165,-133,http://ww2.smb.museum/mk_edit/images/n0/189/vs_thumb.jpg,Türkei,Aeolis,Kyme
00185,Lebedos,-150,-140,http://ww2.smb.museum/mk_edit/images/n0/190/vs_thumb.jpg,Türkei,Ionien,Lebedos
00186,Kyrene,-435,-330,http://ww2.smb.museum/mk_edit/images/n0/191/vs_thumb.jpg,Libyen,Kyrenaika,Kyrene
00187,Barke,-435,-310,http://ww2.smb.museum/mk_edit/images/n0/192/vs_thumb.jpg,Libyen,Kyrenaika,Barke
00188,Karthago,-350,-270,http://ww2.smb.museum/mk_edit/images/n0/193/vs_thumb.jpg,Tunesien,Zeugitanien,Karthago
00189,Karthago: Sikulopunier,-310,-300,http://ww2.smb.museum/mk_edit/images/n0/194/vs_thumb.jpg,Italien,Sizilien,Karthago?
00190,Mauretanien: Iuba II.,-50,23,http://ww2.smb.museum/mk_edit/images/n0/195/vs_thumb.jpg,Algerien,Mauretanien,Caesarea (Iol)
00191,Bosporos: Asandros,-36,-17,http://ww2.smb.museum/mk_edit/images/n0/196/vs_thumb.jpg,Ukraine,Bosporos,
00192,Kappadokien: Archelaos,-17,17,http://ww2.smb.museum/mk_edit/images/n0/197/vs_thumb.jpg,Türkei,Kappadokien,Caesarea (Kayseri)
00193,Parther: Phraates IV.,-38,-2,http://ww2.smb.museum/mk_edit/images/n0/199/vs_thumb.jpg,Iran,Parthien,Laodikeia in Medien
00194,Röm. Republik: M. Aurelius Cotta,-139,-139,http://ww2.smb.museum/mk_edit/images/n0/200/vs_thumb.jpg,Italien,Italia,Rom
00195,Röm. Republik: C. Servilius M. filius,-136,-136,http://ww2.smb.museum/mk_edit/images/n0/201/vs_thumb.jpg,Italien,Italia,Rom
00196,Röm. Republik: M. Aurelius Scaurus und L. Licinius und Cn. Domitius,-118,-118,http://ww2.smb.museum/mk_edit/images/n0/202/vs_thumb.jpg,Frankreich,Gallia,Narbonne?
00197,Röm. Republik: N. Fabius Pictor,-126,-126,http://ww2.smb.museum/mk_edit/images/n0/203/vs_thumb.jpg,Italien,Italia,Rom
00198,Röm. Republik: C. Fundanius Q.,-101,-101,http://ww2.smb.museum/mk_edit/images/n0/204/vs_thumb.jpg,Italien,Italia,Rom
00199,Röm. Republik: C. Fundanius,-101,-101,http://ww2.smb.museum/mk_edit/images/n0/205/vs_thumb.jpg,Italien,Italia,Rom
00200,Röm. Republik: C. Servilius,-82,-80,http://ww2.smb.museum/mk_edit/images/n0/206/vs_thumb.jpg,Italien,Italia,Rom
00201,Röm. Republik: P. Lepidus und L. Scribonius Libo,-62,-62,http://ww2.smb.museum/mk_edit/images/n0/207/vs_thumb.jpg,Italien,Italia,Rom
00202,Röm. Republik: M. Iunius Brutus,-85,-42,http://ww2.smb.museum/mk_edit/images/n0/208/vs_thumb.jpg,Italien,Italia,Rom
00204,Röm. Republik: C. Coelius Caldus,-51,-51,http://ww2.smb.museum/mk_edit/images/n0/210/vs_thumb.jpg,Italien,Italia,Rom
00205,Seleukiden: Seleukos I.,-356,-323,http://ww2.smb.museum/mk_edit/images/n0/211/vs_thumb.jpg,Iran,Medien,Ekbatana
00206,Seleukiden: Antiochos III.,-242,-187,http://ww2.smb.museum/mk_edit/images/n0/212/vs_thumb.jpg,Irak,Babylonien,Seleukia am Tigris
00207,Seleukiden: Antiochos IV.,-170,-164,http://ww2.smb.museum/mk_edit/images/n0/213/vs_thumb.jpg,Israel,Phönizien,Ake-Akkon
00208,Seleukiden: Antiochos IV.,-169,-164,http://ww2.smb.museum/mk_edit/images/n0/214/vs_thumb.jpg,Türkei,Syria,Antiochia (Antakya)
00209,Seleukiden: Kleopatra Thea und Antiochos VIII.,-125,-121,http://ww2.smb.museum/mk_edit/images/n0/215/vs_thumb.jpg,Israel,Phönizien,Ake-Akkon
00210,Seleukiden: Antiochos XI. und Philippos I. Philadelphos,-115,-92,http://ww2.smb.museum/mk_edit/images/n0/217/vs_thumb.jpg,Türkei,Kilikien,Tarsos?
00211,Syrakus: Hieron II.,-306,-215,http://ww2.smb.museum/mk_edit/images/n0/218/vs_thumb.jpg,Italien,Sizilien,Syrakus
00212,Syrakus: Hieronymos,-215,-214,http://ww2.smb.museum/mk_edit/images/n0/219/vs_thumb.jpg,Italien,Sizilien,Syrakus
00214,Achulla,-63,14,http://ww2.smb.museum/mk_edit/images/n0/221/vs_thumb.jpg,Tunesien,Byzacene,Achulla
00215,Antiochia am Orontes,-47,9,http://ww2.smb.museum/mk_edit/images/n0/222/vs_thumb.jpg,Türkei,Syria,Antiochia (Antakya)
00217,Sparta: Kleomenes III.,-254,-219,http://ww2.smb.museum/mk_edit/images/n0/224/vs_thumb.jpg,Griechenland,Lakonien,Sparta
00218,Bithynien: Prusias I.,-229,-182,http://ww2.smb.museum/mk_edit/images/n0/225/vs_thumb.jpg,Türkei,Bithynien,
00219,Pontos: Mithradates IV.,-160,-151,http://ww2.smb.museum/mk_edit/images/n0/226/vs_thumb.jpg,Türkei,Pontos,
00220,Kappadokien: Orophernes,-159,-157,http://ww2.smb.museum/mk_edit/images/n0/227/vs_thumb.jpg,Türkei,Ionien,Priene?
00221,Parther: Mithradates I.,-171,-132,http://ww2.smb.museum/mk_edit/images/n0/228/vs_thumb.jpg,Irak,Babylonien,Seleukia am Tigris
00222,Baktrien: Agathokles,-190,-180,http://ww2.smb.museum/mk_edit/images/n0/231/vs_thumb.jpg,Afghanistan,Baktrien,
00223,Baktrien: Eukratides I.,-170,-145,http://ww2.smb.museum/mk_edit/images/n0/232/vs_thumb.jpg,Afghanistan,Baktrien,
00224,Baktrien: Eukratides I.,-170,-145,http://ww2.smb.museum/mk_edit/images/n0/233/vs_thumb.jpg,Afghanistan,Baktrien,
00225,Baktrien: Menandros I.,-155,-130,http://ww2.smb.museum/mk_edit/images/n0/234/vs_thumb.jpg,Afghanistan,Baktrien,
00226,Indoskythen: Azilises I.,-51,-35,http://ww2.smb.museum/mk_edit/images/n0/235/vs_thumb.jpg,Pakistan,Kaschmir,Hazara
00227,Thraker: Mostis,-130,-100,http://ww2.smb.museum/mk_edit/images/n0/236/vs_thumb.jpg,Bulgarien,Thrakien,
00228,Illyrien: Ballaios,-167,-135,http://ww2.smb.museum/mk_edit/images/n0/237/vs_thumb.jpg,,Illyrien,
00229,Bosporos: Pharnakes II.,-53,-47,http://ww2.smb.museum/mk_edit/images/n0/238/vs_thumb.jpg,Ukraine,Bosporos,
00230,"Aiax, Toparch in Kilikien",13,15,http://ww2.smb.museum/mk_edit/images/n0/239/vs_thumb.jpg,Türkei,Kilikien,Olba
